Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Fuel Consumption (l/km),Flight time (hrs)
2B,410,SVX,2975,NUX,4364,,0,CR2,2.51,2.95
2B,410,SVX,2975,OVB,4078,,0,CR2,9.34,11.38
2B,410,TGK,\N,DME,4029,,0,CR2,7.91,9.48
2B,410,UUA,6160,DME,4029,,0,CR2,1.78,1.8
2B,410,UUA,6160,LED,2948,,0,CR2,9.11,11.21
2B,410,UUA,6160,NJC,2972,,0,CR2,9.84,11.7
2G,1654,BTK,2936,IKT,2937,,0,A81,9.87,11.95
2G,1654,BTK,2936,OVB,4078,,0,A81,1.18,1.14
2G,1654,CEK,2968,OVB,4078,,0,A81,7.36,8.98
2G,1654,HTA,2935,IKT,2937,,0,AN4,5.9,6.78
2G,1654,IKT,2937,BTK,2936,,0,A81,7.17,8.62
2G,1654,IKT,2937,HTA,2935,,0,AN4,9.46,11.64
2G,1654,IKT,2937,KCK,\N,,0,AN4,7.07,8.41
2G,1654,IKT,2937,ODO,8944,,0,AN4,8.34,10.13
2G,1654,IKT,2937,OVB,4078,,0,A81,8.8,10.47
2G,1654,IKT,2937,UKX,6924,,0,AN4,8.43,10.14
2G,1654,IKT,2937,ULK,9026,,0,AN4,4.46,5.4
2G,1654,IKT,2937,YKS,2923,,0,A81,2.85,3.06
2G,1654,KCK,\N,IKT,2937,,0,AN4,4.27,5.06
2G,1654,MJZ,2925,OVB,4078,,0,A81,8.87,10.76
2G,1654,ODO,8944,IKT,2937,,0,AN4,2.16,2.19
2G,1654,OVB,4078,BTK,2936,,0,A81,5.26,6.4
2G,1654,OVB,4078,CEK,2968,,0,A81,3.04,3.18
2G,1654,OVB,4078,IKT,2937,,0,A81,6.13,7.19
2G,1654,UKX,6924,IKT,2937,,0,AN4,8.52,10.43
2G,1654,ULK,9026,IKT,2937,,0,AN4,8.62,10.62
2G,1654,YKS,2923,IKT,2937,,0,A81,2.89,3.22
2I,8359,AYP,2786,LIM,2789,,0,142,9,10.94
2I,8359,CUZ,2812,LIM,2789,,0,142 141,5.96,7.31
2I,8359,CUZ,2812,PEM,2808,,0,142,3.97,4.53
2I,8359,HUU,6067,LIM,2789,,0,141,7.14,8.64
2I,8359,IQT,2801,PCL,2781,,0,143,5.06,6.04
2I,8359,IQT,2801,TPP,2806,,0,142,4.04,4.85
2I,8359,LIM,2789,AYP,2786,,0,142,7.04,8.61
2I,8359,LIM,2789,CUZ,2812,,0,142 141,2.85,3.36
2I,8359,LIM,2789,HUU,6067,,0,141,3.89,4.3
2I,8359,LIM,2789,PCL,2781,,0,143 146,4.71,5.5
2I,8359,LIM,2789,TPP,2806,,0,142 146,3.02,3.42
2I,8359,PCL,2781,IQT,2801,,0,143,4.51,5.16
2I,8359,PCL,2781,LIM,2789,,0,143 146,5.88,7.07
2I,8359,PCL,2781,TPP,2806,,0,146,7.64,9.02
2I,8359,PEM,2808,CUZ,2812,,0,142,7.63,9.32
2I,8359,TPP,2806,IQT,2801,,0,142,8.39,9.96
2I,8359,TPP,2806,LIM,2789,,0,142 146,7.37,9.06
2I,8359,TPP,2806,PCL,2781,,0,146,6.83,8.33
2J,470,ABJ,253,BOY,247,,0,CRJ,3.04,3.23
2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,4.22,5.1
2J,470,ACC,248,OUA,246,,0,CRJ,4.99,5.99
2J,470,BKO,1044,ABJ,253,,0,M87,1.28,1.45
2J,470,BKO,1044,DKR,1084,,0,M87,5.6,6.58
2J,470,BKO,1044,OUA,246,,0,CRJ,4.65,5.52
2J,470,BOY,247,ABJ,253,,0,CRJ,8.13,9.72
2J,470,BOY,247,OUA,246,,0,CRJ,9.53,11.75
2J,470,COO,245,LFW,298,,0,M87,5.77,6.89
2J,470,COO,245,OUA,246,,0,M87,3.62,4.21
2J,470,DKR,1084,BKO,1044,,0,M87,1.11,1
2J,470,DKR,1084,OUA,246,,0,M87,9.12,11.13
2J,470,LFW,298,OUA,246,,0,M87 CRJ,9.35,11.07
2J,470,NIM,280,OUA,246,,0,CRJ,2.95,3.41
2J,470,OUA,246,ABJ,253,,0,E70 CRJ M87,7.18,8.5
2J,470,OUA,246,ACC,248,,0,CRJ,1.34,1.37
2J,470,OUA,246,BKO,1044,,0,M87 CRJ,2.24,2.41
2J,470,OUA,246,BOY,247,,0,CRJ,2.58,2.99
2J,470,OUA,246,COO,245,,0,M87,3.28,3.89
2J,470,OUA,246,DKR,1084,,0,M87,10.05,11.95
2J,470,OUA,246,LFW,298,,0,CRJ,7.12,8.51
2J,470,OUA,246,NIM,280,,0,CRJ,4.22,4.92
2K,1338,BOG,2709,GYE,2673,,0,319,7.54,8.98
2K,1338,BOG,2709,UIO,2688,,0,319 320,9.01,11.03
2K,1338,CLO,2715,GYE,2673,,0,319,9.65,11.53
2K,1338,GYE,2673,BOG,2709,,0,319,1.14,1.17
2K,1338,GYE,2673,CLO,2715,,0,319,4.35,5.04
2K,1338,GYE,2673,SCY,6045,,0,319 320,1.53,1.73
2K,1338,GYE,2673,UIO,2688,,0,320 319,3.82,4.36
2K,1338,OCC,2670,UIO,2688,,0,319,2.25,2.45
2K,1338,SCY,6045,GYE,2673,,0,319 320,6.56,7.94
2K,1338,UIO,2688,BOG,2709,,0,319 320,4.2,4.97
2K,1338,UIO,2688,GYE,2673,,0,319,2.62,3.14
2K,1338,UIO,2688,OCC,2670,,0,319,2.96,3.56
2L,2750,BDS,1506,ZRH,1678,,0,100,4.05,4.64
2L,2750,BOD,1264,ZRH,1678,,0,100,3.18,3.49
2L,2750,BRS,490,ZRH,1678,,0,100,4.89,5.71
2L,2750,GVA,1665,LPA,1054,,0,319,0.83,0.87
2L,2750,LCA,1197,ZRH,1678,,0,319,3.45,3.72
2L,2750,LPA,1054,ZRH,1678,,0,319,4.57,5.23
2L,2750,RMF,4197,ZRH,1678,,0,319,6.14,7.43
2L,2750,TFS,1056,GVA,1665,,0,319,3.26,3.62
2L,2750,ZRH,1678,BDS,1506,,0,100,1.77,2.03
2L,2750,ZRH,1678,BOD,1264,,0,100,1.52,1.38
2L,2750,ZRH,1678,BRS,490,,0,100,9.35,11.32
2L,2750,ZRH,1678,LCA,1197,,0,319,4.5,5.29
2L,2750,ZRH,1678,LPA,1054,,0,319,5.85,7.18
2L,2750,ZRH,1678,RMF,4197,,0,319,9.22,11.07
2N,3652,AJR,730,LYC,719,,0,ATP,1.59,1.45
2N,3652,ARN,737,GEV,715,,0,ATP,8.68,10.58
2N,3652,ARN,737,HAD,709,,0,SF3,5.58,6.84
2N,3652,ARN,737,JKG,688,,0,ATP SF3,2.33,2.4
2N,3652,ARN,737,KRF,718,,0,ATP,4.54,5.23
2N,3652,ARN,737,KSD,5595,,0,SF3,7.96,9.44
2N,3652,ARN,737,LYC,719,,0,ATP,5.13,6.02
2N,3652,ARN,737,MHQ,442,,0,SF3,9.75,11.83
2N,3652,ARN,737,OER,722,,0,ATR,4.05,4.83
2N,3652,ARN,737,POR,448,,0,SF3,7.43,9.12
2N,3652,ARN,737,TRF,664,,0,SF3,4.3,5.02
2N,3652,ARN,737,VBY,746,,0,SF3 ATP,8.48,10.04
2N,3652,ARN,737,VHM,729,,0,SF3,5.76,7.04
2N,3652,ARN,737,VXO,711,,0,SF3,1.48,1.23
2N,3652,GEV,715,ARN,737,,0,ATP,1.21,0.92
2N,3652,GEV,715,KRF,718,,0,ATP,1.99,2.04
2N,3652,HAD,709,ARN,737,,0,SF3 ATP,0.99,0.66
2N,3652,HAD,709,JKG,688,,0,ATP SF3,1.42,1.37
2N,3652,HAD,709,VXO,711,,0,SF3,7.02,8.45
2N,3652,HMV,5599,VHM,729,,0,SF3,5.64,6.64
2N,3652,JKG,688,ARN,737,,0,ATP SF3,7.75,9.12
2N,3652,JKG,688,HAD,709,,0,ATP SF3,9.28,11
2N,3652,KOK,435,POR,448,,0,SF3,6.22,7.23
2N,3652,KRF,718,ARN,737,,0,ATP,7.25,8.85
2N,3652,KRF,718,GEV,715,,0,ATP,7.7,9.21
2N,3652,KSD,5595,ARN,737,,0,SF3,4.16,4.85
2N,3652,LYC,719,AJR,730,,0,ATP,2.91,3.27
2N,3652,LYC,719,ARN,737,,0,ATP,2.56,2.86
2N,3652,MHQ,442,ARN,737,,0,SF3,2.84,3.39
2N,3652,MHQ,442,TKU,460,,0,SF3,3.37,3.66
2N,3652,OER,722,ARN,737,,0,ATR,2.8,2.88
2N,3652,OSL,644,VXO,711,,0,SF3,8.66,10.6
2N,3652,POR,448,ARN,737,,0,SF3,7.72,9.21
2N,3652,POR,448,KOK,435,,0,SF3,1.15,1.04
2N,3652,TKU,460,MHQ,442,,0,SF3,3.33,3.59
2N,3652,TRF,664,ARN,737,,0,SF3,0.99,0.76
2N,3652,VBY,746,ARN,737,,0,SF3 ATP,5.38,6.23
2N,3652,VHM,729,ARN,737,,0,SF3,5.26,5.98
2N,3652,VHM,729,HMV,5599,,0,SF3,8.41,10.06
2N,3652,VXO,711,ARN,737,,0,SF3,3.51,4.04
2N,3652,VXO,711,OSL,644,,0,SF3,8.03,9.89
2O,146,ADQ,3531,AOS,7167,,0,BNI,9.77,11.63
2O,146,ADQ,3531,KKB,7168,,0,BNI,1.55,1.52
2O,146,ADQ,3531,KLN,7162,,0,BNI,8.06,9.61
2O,146,ADQ,3531,KOZ,7164,,0,BNI,6.13,7.28
2O,146,ADQ,3531,OLH,7163,,0,BNI,5.07,6.02
2O,146,AOS,7167,KZB,7176,,0,BNI,4.57,5.34
2O,146,KKB,7168,SYB,7173,,0,BNI,7.74,9.52
2O,146,KLN,7162,KYK,7161,,0,BNI,6.7,7.85
2O,146,KOZ,7164,ORI,7165,,0,BNI,7.97,9.76
2O,146,SYB,7173,KPR,7172,,0,BNI,8.95,10.89
2P,897,BSO,6019,MNL,2397,,0,DH4,6.21,7.6
2P,897,BXU,4200,MNL,2397,,0,320,9.85,11.78
2P,897,CBO,2399,MNL,2397,,0,320,6.16,7.49
2P,897,CGY,2400,MNL,2397,,0,320,6.52,7.82
2P,897,CRM,6024,MNL,2397,,0,DH4,5.77,6.88
2P,897,DGT,2425,MNL,2397,,0,320,1.47,1.55
2P,897,DWC,8076,MNL,2397,,0,330,7.52,8.85
2P,897,GES,2402,MNL,2397,Y,0,320,5.85,6.8
2P,897,KLO,2430,MNL,2397,,0,320,4.95,5.69
2P,897,LGP,4203,MNL,2397,,0,320,8.97,10.97
2P,897,MNL,2397,BSO,6019,,0,DH4,3.32,3.93
2P,897,MNL,2397,BXU,4200,,0,320,5.41,6.52
2P,897,MNL,2397,CBO,2399,,0,320,7.07,8.52
2P,897,MNL,2397,CGY,2400,,0,320,8.02,9.66
2P,897,MNL,2397,CRM,6024,,0,DH4,4.82,5.78
2P,897,MNL,2397,DGT,2425,,0,320,8.43,10.18
2P,897,MNL,2397,DWC,8076,,0,330,7.65,9.34
2P,897,MNL,2397,GES,2402,Y,0,320,1.22,1.26
2P,897,MNL,2397,KLO,2430,,0,320,1.03,1.03
2P,897,MNL,2397,LGP,4203,,0,320,6.5,7.64
2P,897,MNL,2397,MPH,2426,,0,DH3,3.88,4.5
2P,897,MNL,2397,OZC,4204,,0,320,2.67,2.91
2P,897,MNL,2397,PPS,2433,,0,320,6.1,7.17
2P,897,MNL,2397,RXS,6026,,0,320,3.67,4.43
2P,897,MNL,2397,SUG,6016,,0,DH4,5.76,6.68
2P,897,MNL,2397,TUG,6021,,0,DH4,4.85,5.79
2P,897,MNL,2397,ZAM,2404,,0,320,6.08,7.22
2P,897,MPH,2426,MNL,2397,,0,DH3,4.32,5.1
2P,897,OZC,4204,MNL,2397,,0,320,7.23,8.52
2P,897,PPS,2433,MNL,2397,,0,320,2.25,2.57
2P,897,RXS,6026,MNL,2397,,0,320,7.29,8.51
2P,897,SUG,6016,MNL,2397,,0,DH4,4.44,5.23
2P,897,TUG,6021,MNL,2397,,0,DH4,8.82,10.55
2P,897,ZAM,2404,MNL,2397,,0,320,5.5,6.43
2Z,1729,AUX,7376,PMW,4214,,0,AT7,9.75,11.69
2Z,1729,BRA,7373,BSB,2531,,0,AT7,6.26,7.42
2Z,1729,BRA,7373,SSA,2621,,0,AT7,2.71,3.07
2Z,1729,BSB,2531,BRA,7373,,0,AT7,8.13,9.95
2Z,1729,BSB,2531,OPS,7367,,0,AT7,3.88,4.47
2Z,1729,BSB,2531,RAO,2613,,0,AT7,3.72,4.5
2Z,1729,CAC,2535,GRU,2564,,0,AT7,0.82,0.87
2Z,1729,CGB,2548,GYN,2562,,0,AT7,5.79,6.81
2Z,1729,CGB,2548,OPS,7367,,0,AT7,5.61,6.65
2Z,1729,CGR,2538,DOU,7380,,0,AT7,3.97,4.59
2Z,1729,DOU,7380,CGR,2538,,0,AT7,8.85,10.78
2Z,1729,DOU,7380,GRU,2564,,0,AT7,2,1.98
2Z,1729,GIG,2560,RAO,2613,,0,AT7,3.62,4.3
2Z,1729,GRU,2564,CAC,2535,,0,AT7,3.69,4.2
2Z,1729,GRU,2564,DOU,7380,,0,AT7,1.69,1.56
2Z,1729,GRU,2564,RAO,2613,,0,AT7,5.26,6.03
2Z,1729,GRU,2564,UBA,2635,,0,AT7,6.84,8.41
2Z,1729,GRU,2564,UDI,2633,,0,AT7,5.32,6.38
2Z,1729,GRU,2564,VDC,6039,,0,AT7,2.23,2.31
2Z,1729,GYN,2562,CGB,2548,,0,AT7,4.27,4.84
2Z,1729,GYN,2562,PMW,4214,,0,AT7,0.72,0.53
2Z,1729,GYN,2562,RAO,2613,,0,AT7,8.57,10.49
2Z,1729,GYN,2562,UDI,2633,,0,AT7,1.39,1.47
2Z,1729,OPS,7367,BSB,2531,,0,AT7,6.32,7.37
2Z,1729,OPS,7367,CGB,2548,,0,AT7,9.65,11.84
2Z,1729,PLU,2528,RAO,2613,,0,AT7,5.81,6.67
2Z,1729,PMW,4214,AUX,7376,,0,AT7,9.2,11.13
2Z,1729,PMW,4214,GYN,2562,,0,AT7,2.79,3.22
2Z,1729,RAO,2613,BSB,2531,,0,AT7,7.65,9.24
2Z,1729,RAO,2613,GIG,2560,,0,AT7,5.49,6.61
2Z,1729,RAO,2613,GRU,2564,,0,AT7,7.29,8.79
2Z,1729,RAO,2613,GYN,2562,,0,AT7,1.13,1.22
2Z,1729,RAO,2613,PLU,2528,,0,AT7,2.19,2.2
2Z,1729,RAO,2613,SJP,2619,,0,AT7,2.11,2.03
2Z,1729,RAO,2613,UDI,2633,,0,AT7,7.08,8.4
2Z,1729,SJP,2619,RAO,2613,,0,AT7,8.59,10.21
2Z,1729,SSA,2621,BRA,7373,,0,AT7,7.49,9.12
2Z,1729,SSA,2621,VDC,6039,,0,AT7,0.81,0.85
2Z,1729,UBA,2635,GRU,2564,,0,AT7,8.73,10.47
2Z,1729,UBA,2635,UDI,2633,,0,AT7,4.08,4.57
2Z,1729,UDI,2633,GRU,2564,,0,AT7,4.49,5.07
2Z,1729,UDI,2633,GYN,2562,,0,AT7,1.68,1.71
2Z,1729,UDI,2633,RAO,2613,,0,AT7,7.53,8.98
2Z,1729,UDI,2633,UBA,2635,,0,AT7,2.33,2.6
2Z,1729,VDC,6039,GRU,2564,,0,AT7,6.02,6.99
2Z,1729,VDC,6039,SSA,2621,,0,AT7,8.52,10.17
3E,10739,BRL,5726,ORD,3830,,0,CNC,1.4,1.53
3E,10739,BRL,5726,STL,3678,,0,CNC,5.54,6.66
3E,10739,DEC,4042,ORD,3830,,0,CNC,2.7,3.18
3E,10739,DEC,4042,STL,3678,,0,CNC,3.85,4.44
3E,10739,JBR,3591,STL,3678,,0,CNC,4.94,5.95
3E,10739,ORD,3830,BRL,5726,,0,CNC,3.83,4.58
3E,10739,ORD,3830,DEC,4042,,0,CNC,6.53,7.96
3E,10739,STL,3678,BRL,5726,,0,CNC,5.02,6.02
3E,10739,STL,3678,DEC,4042,,0,CNC,6.2,7.22
3E,10739,STL,3678,JBR,3591,,0,CNC,7.65,8.97
3F,16262,CGA,7144,HYL,7145,,0,DHP,6.03,6.91
3F,16262,CGA,7144,KTN,3808,,0,DHP,5.92,7.25
3F,16262,HYL,7145,CGA,7144,,0,DHP,5.92,6.99
3F,16262,HYL,7145,KTB,7147,,0,DHP,4.09,4.86
3F,16262,HYL,7145,KTN,3808,,0,DHP,4,4.38
3F,16262,KTB,7147,HYL,7145,,0,DHP,9.17,10.85
3F,16262,KTB,7147,KTN,3808,,0,DHP,6.47,7.49
3F,16262,KTN,3808,CGA,7144,,0,DHP,2.75,3.31
3F,16262,KTN,3808,HYL,7145,,0,DHP,5.15,6.23
3F,16262,KTN,3808,KTB,7147,,0,DHP,3.76,4.3
3F,16262,KTN,3808,MTM,7146,,0,DHP,9.17,11.24
3F,16262,MTM,7146,KTN,3808,,0,DHP,0.91,0.59
3G,595,ACC,248,DKR,1084,,0,319,2.85,3.09
3G,595,ACC,248,LOS,273,,0,319,3.93,4.7
3G,595,ACC,248,ROB,1063,,0,319,5.32,6.11
3G,595,BCN,1218,BJL,1050,,0,319,8.52,10.28
3G,595,BJL,1050,BCN,1218,,0,319,1.59,1.51
3G,595,BJL,1050,DKR,1084,,0,319,7.97,9.77
3G,595,BJL,1050,FNA,1059,,0,319,1.22,1.14
3G,595,CKY,4162,OXB,5665,,0,319,8.56,10.19
3G,595,DKR,1084,ACC,248,,0,319,1.11,1.09
3G,595,DKR,1084,BJL,1050,,0,319,0.74,0.71
3G,595,DKR,1084,DLA,897,,0,319,7.17,8.52
3G,595,DKR,1084,FNA,1059,,0,319,9.93,11.97
3G,595,DKR,1084,LOS,273,,0,319,8.83,10.81
3G,595,DKR,1084,OXB,5665,,0,319,5.82,7.12
3G,595,DLA,897,DKR,1084,,0,319,9.01,11.05
3G,595,DLA,897,LOS,273,,0,319,0.66,0.56
3G,595,FNA,1059,BJL,1050,,0,319,9.48,11.71
3G,595,FNA,1059,DKR,1084,,0,319,5.38,6.14
3G,595,FNA,1059,LGW,502,,0,319,7.24,8.81
3G,595,FNA,1059,ROB,1063,,0,319,8.35,9.94
3G,595,LGW,502,FNA,1059,,0,319,7.27,8.76
3G,595,LOS,273,ACC,248,,0,319,5.62,6.65
3G,595,LOS,273,DKR,1084,,0,319,5.1,5.98
3G,595,LOS,273,DLA,897,,0,319,8.52,10.14
3G,595,LOS,273,ROB,1063,,0,319,2.7,2.86
3G,595,OXB,5665,CKY,4162,,0,319,9.46,11.63
3G,595,OXB,5665,DKR,1084,,0,319,7.17,8.68
3G,595,ROB,1063,ACC,248,,0,319,2.56,2.79
3G,595,ROB,1063,FNA,1059,,0,319,7.41,8.97
3G,595,ROB,1063,LOS,273,,0,319,5.43,6.59
3H,\N,AKV,5506,YIK,5504,,0,DH8,7.17,8.63
3H,\N,AKV,5506,YPX,6727,,0,DH8,7.65,9.33
3H,\N,XGR,5512,YVP,154,,0,DHT BET,1.36,1.5
3H,\N,YGL,62,YGW,5496,,0,DHT,5.28,6.32
3H,\N,YGL,62,YPX,6727,,0,73M,9.2,11.22
3H,\N,YGL,62,YUL,146,,0,73M,3.49,4.19
3H,\N,YGW,5496,YGL,62,,0,DHT,6.2,7.33
3H,\N,YGW,5496,YPH,5520,,0,BET,4.03,4.75
3H,\N,YGW,5496,YSK,5529,,0,DH8,4.75,5.72
3H,\N,YGW,5496,YUD,5515,,0,DH8,5.88,6.81
3H,\N,YGW,5496,YUL,146,,0,DH8,5.55,6.81
3H,\N,YGW,5496,YUY,149,,0,DH8,2.54,2.82
3H,\N,YIK,5504,AKV,5506,,0,DH8,6.97,8.37
3H,\N,YIK,5504,YZG,5535,,0,DH8,1.58,1.51
3H,\N,YKG,5481,YPJ,5508,,0,DHT DH8,1.94,2.1
3H,\N,YKG,5481,YQC,5499,,0,DH8,0.73,0.53
3H,\N,YKG,5481,YVP,154,,0,DH8 DHT,1.94,1.84
3H,\N,YKL,80,YQB,111,,0,DH8,4.92,5.94
3H,\N,YKL,80,YVP,154,,0,DH8 BET,6.12,7.47
3H,\N,YKL,80,YWK,161,,0,BET,8.1,9.63
3H,\N,YKL,80,YZV,202,,0,BET DH8,1.78,1.73
3H,\N,YPH,5520,YPX,6727,,0,DH8 BET,8.69,10.28
3H,\N,YPH,5520,YUD,5515,,0,DH8,7.76,9.08
3H,\N,YPH,5520,YVP,154,,0,BET,4.41,5.2
3H,\N,YPJ,5508,YKG,5481,,0,DHT DH8,9.23,11.23
3H,\N,YPJ,5508,YTQ,6728,,0,DHT DH8,9.98,11.9
3H,\N,YPJ,5508,YVP,154,,0,DHT,2.73,2.86
3H,\N,YPX,6727,AKV,5506,,0,DH8,4.14,4.86
3H,\N,YPX,6727,YGL,62,,0,73M,9.05,11.15
3H,\N,YPX,6727,YPH,5520,,0,DH8,7.37,8.8
3H,\N,YPX,6727,YVP,154,,0,BET,1.05,1.05
3H,\N,YQB,111,YKL,80,,0,DH8,8.06,9.49
3H,\N,YQB,111,YUL,146,,0,DH8,8.44,10.02
3H,\N,YQC,5499,YKG,5481,,0,DH8,7.76,9.13
3H,\N,YQC,5499,YWB,7253,,0,DH8,7.88,9.69
3H,\N,YSK,5529,YGW,5496,,0,DH8,8.44,9.99
3H,\N,YSK,5529,YUD,5515,,0,DH8,2.45,2.64
3H,\N,YTQ,6728,YPJ,5508,,0,DHT DH8,2.75,3.21
3H,\N,YTQ,6728,YVP,154,,0,DHT DH8,6.45,7.79
3H,\N,YUD,5515,YGW,5496,,0,DH8,9.03,10.94
3H,\N,YUD,5515,YPH,5520,,0,DH8,3.66,4.14
3H,\N,YUD,5515,YSK,5529,,0,DH8,6.01,7.27
3H,\N,YUL,146,YGL,62,,0,73M,6.86,8.35
3H,\N,YUL,146,YGW,5496,,0,DH8,5.02,5.7
3H,\N,YUL,146,YQB,111,,0,DH8,7.41,8.71
3H,\N,YUL,146,YUY,149,,0,DH8,9.09,10.85
3H,\N,YUY,149,YGW,5496,,0,DH8,6.55,7.68
3H,\N,YUY,149,YUL,146,,0,DH8,5.77,6.71
3H,\N,YVP,154,XGR,5512,,0,DHT BET,4.91,5.55
3H,\N,YVP,154,YGW,5496,,0,BET,6.15,7.14
3H,\N,YVP,154,YKG,5481,,0,DH8,3.93,4.59
3H,\N,YVP,154,YKL,80,,0,DH8 BET,4.29,5
3H,\N,YVP,154,YPH,5520,,0,BET,5.64,6.62
3H,\N,YVP,154,YPJ,5508,,0,DHT,1.31,1.27
3H,\N,YVP,154,YPX,6727,,0,BET,2.72,3.13
3H,\N,YVP,154,YTQ,6728,,0,DHT DH8,5.84,6.74
3H,\N,YWB,7253,YQC,5499,,0,DH8,4.79,5.46
3H,\N,YWB,7253,YZG,5535,,0,DH8,3.72,4.33
3H,\N,YWK,161,YKL,80,,0,BET,7.27,8.9
3H,\N,YWK,161,YZV,202,,0,BET,6.89,8.48
3H,\N,YZG,5535,YIK,5504,,0,DH8,2.07,2.42
3H,\N,YZG,5535,YWB,7253,,0,DH8,8.64,10.6
3H,\N,YZV,202,YKL,80,,0,BET DH8,5.32,6.2
3H,\N,YZV,202,YWK,161,,0,BET,7.41,9.03
3J,5521,JIB,4119,DXB,2188,,0,737,6.03,7.09
3J,5521,JIB,4119,JED,2072,,0,737,9.81,11.97
3J,5521,JIB,4119,MGQ,5687,,0,737,7.78,9.15
3J,5521,MGQ,5687,NBO,4059,,0,737,7.19,8.63
3J,5521,NBO,4059,MGQ,5687,,0,737,7.93,9.45
3K,3021,BKK,3885,SIN,3316,,0,320,2,2.15
3K,3021,DRW,3999,SIN,3316,,0,320,2.75,2.85
3K,3021,HAK,4120,SIN,3316,,0,320,7.34,8.71
3K,3021,HGH,3386,SIN,3316,,0,320,5.3,6.18
3K,3021,HKG,3077,SIN,3316,,0,320,7.68,9.18
3K,3021,HKT,3179,SIN,3316,,0,320,1.84,1.68
3K,3021,KIX,3992,MNL,2397,,0,320,5.71,6.67
3K,3021,KIX,3992,TPE,2276,,0,320,4.29,4.86
3K,3021,KUL,3304,SIN,3316,,0,320,4.74,5.76
3K,3021,MNL,2397,KIX,3992,,0,320,6.39,7.45
3K,3021,MNL,2397,SIN,3316,,0,320,5.36,6.28
3K,3021,PEN,3308,SIN,3316,,0,320,5.6,6.71
3K,3021,PER,3351,SIN,3316,,0,320,5.2,6.09
3K,3021,PNH,3034,SIN,3316,,0,320,4.51,5.2
3K,3021,REP,3035,SIN,3316,,0,320,7.71,9.38
3K,3021,RGN,3239,SIN,3316,,0,320,0.79,0.64
3K,3021,SGN,3205,SIN,3316,,0,320,6.29,7.38
3K,3021,SIN,3316,BKK,3885,,0,320,5.79,7
3K,3021,SIN,3316,DRW,3999,,0,320,7.43,8.74
3K,3021,SIN,3316,HAK,4120,,0,320,6.04,7.39
3K,3021,SIN,3316,HGH,3386,,0,320,8.34,10.01
3K,3021,SIN,3316,HKG,3077,,0,320,9.48,11.53
3K,3021,SIN,3316,HKT,3179,,0,320,3.67,4.44
3K,3021,SIN,3316,KUL,3304,,0,320,2.9,3.11
3K,3021,SIN,3316,MNL,2397,,0,320,4.61,5.37
3K,3021,SIN,3316,PEN,3308,,0,320,3.43,3.81
3K,3021,SIN,3316,PER,3351,,0,320,6.31,7.57
